category,site_name,domain,primary_niche,sub_niche,winner_type,country_audience,start_year,traffic_est,traffic_evidence,traffic_source_url,revenue_reported,revenue_evidence,revenue_source_url,monetization_models,display_ads,affiliate,own_product,digital_product,course_community,newsletter_email_capture,saas_tool_lead,sponsored_content,content_scale,evergreen_or_news,dominant_search_intent,problem_solving_content,comparison_buying_content,tutorial_howto,first_hand_experience_evidence,downloadable_template_tool,free_tool_calculator,commercial_intent_level,visitor_to_revenue_distance,time_to_monetization,evidence_confidence,likely_primary_revenue_driver,likely_secondary_revenue_driver,cleansheethq_transferability_summary
Excel/Spreadsheet/Productivity,ExcelJet,exceljet.net,Excel formulas/functions,Formulas-focused reference,TRAFFIC,US/Global,"UNKNOWN (est. ~2011, D)",~150K/mo,B,similarweb.com/website/exceljet.net,UNKNOWN,UNKNOWN,—,"display ads, paid courses, newsletter",Y (C),UNKNOWN,Y (courses),Y,Y (courses),"Y (100K+ subs, C)",N,UNKNOWN,~500+ articles (D),Evergreen,Problem-solving/informational,Y,N,Y,"Y (C, screenshots)",N (course-focused),N,Med,MEDIUM,UNKNOWN,Mostly B (traffic) + D; no revenue evidence found,Course sales,Display ads,High: single-answer formula-reference format replicable for data-cleanup long-tail queries
Excel/Spreadsheet/Productivity,Ablebits,ablebits.com,Excel/Office add-in software,Add-in tool + formula help,TRAFFIC + REVENUE(C),"US/Global (co. Moldova-based, D)","UNKNOWN (est. ~2006, D)",~147K/mo,B,similarweb.com/website/ablebits.com,"UNKNOWN (paid software co., not disclosed)",UNKNOWN,—,"own SaaS/add-in sales (Kutools-class Ablebits products), free formula helper tool","N (C, product-led)",N,Y (Kutools/Ablebits add-ins),Y,N,Y (C),Y (add-in product),UNKNOWN,"~1000+ articles (D, large KB)",Evergreen,Problem-solving,Y,N,Y,Y (C),Y (free formula helper tool),Y (free online formula generator),Med-High,MEDIUM,UNKNOWN,B (traffic) + D; revenue UNKNOWN despite being a real software company,Own product (Kutools/add-ins) sales,Free tool as lead-gen,High: pairing free educational content with real downloadable tool mirrors trust-then-sell model
Excel/Spreadsheet/Productivity,Excel Campus,excelcampus.com,Excel tutorials/training,"Formulas, macros, dashboards",NICHE AUTHORITY,US/Global,"UNKNOWN (est. ~2012, D)",~52K/mo,B,similarweb.com/website/excelcampus.com,UNKNOWN,UNKNOWN,—,"paid courses, membership, YouTube ads, affiliate",Y (C),Y (D),Y (courses),Y,Y (courses+membership),Y (C),N,UNKNOWN,~300+ articles (D),Evergreen,Problem-solving/tutorial,Y,N,Y,Y (C),Y (some workbooks),N,Med-High,MEDIUM,UNKNOWN,B (traffic) + D; no revenue evidence found,Course sales,YouTube ads/affiliate,Medium: tutorial depth replicable but needs YouTube/email channel build-up first
Excel/Spreadsheet/Productivity,Contextures,contextures.com,Excel tips & tutorials,"Pivot tables, formulas, VBA",NICHE AUTHORITY,Canada/Global,"UNKNOWN (est. ~2000, D)",UNKNOWN (n/a monthly avg),B,similarweb.com/website/contextures.com,UNKNOWN,UNKNOWN,—,"UNKNOWN (ads likely, C-low)",Y (D),UNKNOWN,N,N,N,"Y (C, likely)",N,UNKNOWN,~200+ pages (D),Evergreen,Problem-solving,Y,N,Y,Y (C),Y (sample files),N,Low-Med,HIGH (unclear monetization),UNKNOWN,B (traffic) + D; weakest evidence overall (revenue/monetization mostly UNKNOWN),UNKNOWN/ads (D),UNKNOWN,Medium-High: proves narrow authority niche can sustain decades on evergreen SEO alone
Excel/Spreadsheet/Productivity,TrumpExcel,trumpexcel.com,Excel training/courses,"Formulas, dashboards, courses",REVENUE (documented),India/Global,2013 (A),~91K/mo,B,similarweb.com/website/trumpexcel.com,"~$10,000/mo (60% courses, rest ads/affiliate) (B)",B (Starter Story interview),starterstory.com/businesses/trumpexcel.com,"courses (primary), display ads, affiliate",Y (A/C),"Y (A, ""small amount"")",Y (courses),Y,Y,"Y (40K+ subs, A)",N,UNKNOWN,~500+ articles (D),Evergreen,Informational->purchase (course funnel),Y,N,Y,Y (C),Y (some),N,High,MEDIUM,~18 months to notable traffic per founder (A),Strong B (named interview with specific numbers) + B traffic,Course sales (60%),Display ads,"Medium: course-funnel model replicable long-term, needs content volume before monetization"
Excel/Spreadsheet/Productivity,Spreadsheeto,spreadsheeto.com,Excel courses,"Formulas, VBA, courses",REVENUE (documented),Denmark ops/US audience,"UNKNOWN (~2016, D)",~28.5K/mo,B,similarweb.com/website/spreadsheeto.com,"~$35,000/mo in 2020 (mostly courses) (B)",B (Course Method interview),coursemethod.com/kasper-langmann.html,"paid video courses, email funnel",N observed (C),UNKNOWN,Y (courses),Y,Y,"Y (core to funnel, A)",N,UNKNOWN,~150+ articles (D),Evergreen,Informational->purchase,Y,N,Y,Y (C),Y (worksheets),N,High,MEDIUM,"UNKNOWN (reached $35K/mo by ~2020, exact ramp UNKNOWN)",Strong B (named interview) + B traffic,Course sales,Email list monetization,Medium: shows courses can outperform ads even at modest traffic
Excel/Spreadsheet/Productivity,XelPlus,xelplus.com,Excel & Power BI courses,"Power Query/Pivot/VBA, BI",REVENUE (documented),Germany-based/Global,"UNKNOWN (~2016, D)",~79K/mo,B,similarweb.com/website/xelplus.com,"""$3M/year"" reported on podcast (B, low confidence single-source)",B (Online Course Show podcast),theonlinecourseguy.com (Online Course Show ep.230),"paid courses (self-hosted, ex-Udemy), YouTube",N observed (C),UNKNOWN,Y (courses),Y,Y,Y (C),N,UNKNOWN,~300+ tutorials/videos (D),Evergreen,Informational->purchase,Y,N,Y,Y (C),Y (some),N,High,MEDIUM,UNKNOWN,"B (podcast-reported figure, single-source) + B traffic",Course sales,YouTube ad revenue,Low-Medium: relies heavily on YouTube scale not yet available to CleanSheetHQ
Excel/Spreadsheet/Productivity,ExtendOffice,extendoffice.com,Excel/Office add-in tools,"Kutools add-in, how-to",TRAFFIC,China-based/Global,"UNKNOWN (est. ~2009, D)",~304K/mo (911.9K/3mo),B,similarweb.com/website/extendoffice.com,UNKNOWN,UNKNOWN,—,"own add-in product (Kutools) sales, ads",Y (C),UNKNOWN,Y (Kutools),Y,N,Y (C),Y (add-in product),UNKNOWN,"~1000+ how-to articles (D, large)",Evergreen,Problem-solving,Y,N,Y,Y (C),Y (Kutools trial),Y (free trial tools),Med,MEDIUM,UNKNOWN,B (traffic) + D; no revenue evidence found,Own product (Kutools) sales,Display ads,High: templated how-to content at scale tied to a tool drives long-tail SEO — close analog
Excel/Spreadsheet/Productivity,Chandoo.org,chandoo.org,Excel/Power BI/dashboards,"Dashboards, charting, Power BI",REVENUE (documented),India-based/Global,2004 (A),~82K/mo (247.3K/3mo),B,similarweb.com/website/chandoo.org,"""$1,000,000+"" cumulative per Mixergy interview title (B)",B (Mixergy podcast interview),mixergy.com/interviews/purna-duggirala-chandoo,"courses, templates, consulting, newsletter",Y (C),UNKNOWN,Y (courses/templates),Y,"Y (Excel School, forum)","Y (100K+ subs, A)",N,UNKNOWN,"""hundreds of tutorials"" (A)",Evergreen,Informational->purchase,Y,N,Y,Y (C),Y (templates),N,Med-High,MEDIUM,UNKNOWN,Strong B (podcast interview + about page) + B traffic,Courses + templates,Consulting/newsletter,Medium: diversified monetization model is aspirational for later stages
Excel/Spreadsheet/Productivity,Vertex42,vertex42.com,Excel/Sheets templates,Templates (budget/finance/PM),TRAFFIC + FAST-GROWTH(claimed),US (Utah)/Global,2003 (A),~400K/mo,B,similarweb.com/website/vertex42.com,UNKNOWN,UNKNOWN,—,"template sales/pro upsell, ads (D), affiliate (D)",Y (D),D-likely (financial tool links),"Y (templates, Pro versions)",Y,N,Y (C),N,UNKNOWN,450+ templates + articles (A),Evergreen,Purchase/download (template),Y,N,Y,Y (C),"Y (core product, 450+ templates)",Y (free calculators),Med,LOW-MEDIUM (direct download funnel),"UNKNOWN (founder went full-time 2008 per about page, A)",B (about-page self-reported stats = A for downloads/visitors) + B traffic,Template downloads -> pro upsell/ads (D),"Affiliate (financial tools, D)",High: proves downloadable reproducible workbook assets alone can build durable organic traffic
