canonical_root_domain,site_name,primary_niche,category,sub_category,as_of_date,sampling_stratum,traffic_tier,is_niche_authority,is_niche_authority_evidence,is_niche_authority_source_url,is_niche_authority_note,is_contrast_case,is_contrast_case_evidence,is_contrast_case_source_url,is_contrast_case_note,contrast_pattern,contrast_evidence_period,start_year_value,start_year_evidence,start_year_source_url,start_year_note,traffic_provider,traffic_metric,traffic_scope,traffic_value_raw,traffic_value_raw_period,traffic_value_monthly_equivalent,traffic_normalization_method,traffic_research_date,traffic_source_period,traffic_evidence,traffic_source_url,traffic_note,revenue_value,revenue_figure_period,revenue_research_date,revenue_evidence,revenue_source_url,revenue_note,display_ads,display_ads_evidence,display_ads_source_url,display_ads_note,affiliate,affiliate_evidence,affiliate_source_url,affiliate_note,own_product,own_product_evidence,own_product_source_url,own_product_note,course_or_community,course_or_community_evidence,course_or_community_source_url,course_or_community_note,newsletter_email_capture,newsletter_email_capture_evidence,newsletter_email_capture_source_url,newsletter_email_capture_note,content_scale_proxy_value,content_scale_proxy_method,content_scale_proxy_evidence,content_scale_proxy_source_url,content_scale_proxy_note
careercontessa.com,Career Contessa,Career Contessa,Career / Education,UNKNOWN,2026-09-17,Large/Traffic Leader,MID,Y,D,,"Long-running (150,000+ newsletter members claimed), multi-format career media brand (courses, book, podcast, proprietary salary-data project) -- reasoned as an established niche authority rather than a small blog.",UNKNOWN,UNKNOWN,UNKNOWN,Actively selling new courses/coaching and running a weekly podcast; no evidence of decline observed.,NOT_APPLICABLE,,2013,A,https://www.careercontessa.com/about/,"Operator direct statement on About page: ""Since 2013, our mission has been to help women build successful and fulfilling careers on their terms.""",Similarweb,total visits,CONTENT_ONLY,72400,trailing_3_months,24133,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/careercontessa.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://www.careercontessa.com/,"Direct site observation: sells multiple paid courses (24-Hour Resume Makeover, Confidence Crunch, Asking For a Raise 101), a book (Power Moves), and 'Hire a Mentor' coaching.",Y,C,https://www.careercontessa.com/,Direct site observation: paid webinars and 'Hire a Mentor' 1:1 coaching program.,Y,C,https://www.careercontessa.com/,"Direct site observation: homepage states 'Join 150,000+ members who trust us to deliver the best career advice each week.'",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
classycareergirl.com,Classy Career Girl,Classy Career Girl,Career / Education,UNKNOWN,2026-09-17,Large/Traffic Leader,LOW,Y,D,,"Founder-run career-coaching brand with a decade of operation (since 2014), its own coach-certification program and paid membership -- reasoned as an established niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,Actively enrolling a new coach-certification cohort at time of research; no evidence of decline.,NOT_APPLICABLE,,2014,A,https://www.classycareergirl.com/,Operator direct statement: founder Anna Runyan states 'I created Classy Career Girl(R)...in 2014 because I was a new mom.',Similarweb,total visits,CONTENT_ONLY,12900,trailing_3_months,4300,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/classycareergirl.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://www.classycareergirl.com/,"Direct site observation: sells 'Corporate Rescue Plan' accelerator, a Career Coach Certification program, and multiple digital courses (Summer Business School, 90 Day Launch Plan).",Y,C,https://www.classycareergirl.com/,Direct site observation: paid membership program with member portal (theclasslife.com) and a coach-certification community.,Y,C,https://www.classycareergirl.com/,Direct site observation: repeated lead-capture CTAs (comment PLAN/WEBINAR) tied to free planner/roadmap downloads.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
careerattraction.com,Career Attraction,Career Attraction,Career / Education,UNKNOWN,2026-09-17,Large/Traffic Leader,UNKNOWN,Y,D,,"Operating since 2008 (operator-stated) with a claimed 16,000+ readers helped and its own paid workshop brand -- reasoned as an established niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,No evidence of decline found; site actively promotes current workshop offerings.,NOT_APPLICABLE,,2008,A,https://careerattraction.com/,"Operator direct statement: site tagline reads 'Since 2008, Providing Advice that's Helped More than 16,000 High Achievers.'",UNKNOWN,UNKNOWN,CONTENT_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Similarweb page for this domain shows no visible Total Visits figure (registration-gated); left UNKNOWN rather than guess.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://careerattraction.com/,"Direct site observation: promotes 'All Things Career Workshop' (paid training, via allthingscareer.com).",UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://careerattraction.com/,Direct site observation: 'Subscribe' button in main navigation.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
careersidekick.com,Career Sidekick,Career Sidekick,Career / Education,UNKNOWN,2026-09-17,Mid-scale Active Site,LOW,N,D,,"Homepage positions the site as a content-only career-advice blog ('comprehensive blog featuring exclusive expert career tips'); no proprietary product/coaching brand or long operating history was confirmed in this research pass, so not classified as a niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,No evidence of decline found (also no strong evidence of scale); default N pending deeper research.,NOT_APPLICABLE,,2013,A,https://www.careersidekick.com/about/,"Operator direct statement: ""Biron Clark began working as an Executive Recruiter in 2012 and founded Career Sidekick in June 2013 from a small home office in Quincy, MA.""",Similarweb,total visits,CONTENT_ONLY,24800,trailing_3_months,8267,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/careersidekick.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
careerpivot.com,Career Pivot,Career Pivot,Career / Education,UNKNOWN,2026-09-17,Mid-scale Active Site,LOW,Y,D,,"Runs an active weekly podcast, a paid membership community, and multiple published books targeting a specific niche (career pivots for older/baby-boomer workers) -- reasoned as a niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,Podcast described as releasing 'new episodes every Monday' at time of research; no evidence of decline.,NOT_APPLICABLE,,UNKNOWN,UNKNOWN,UNKNOWN,"Only indirect evidence found (site copyright footer read ""(C) Marc Miller and Associates, LLC 2012-2019""), which is not an operator about/history statement, third-party history, or directly-observable first archive/post per this round's evidence-tier bar; left UNKNOWN rather than infer from a copyright footer.",Similarweb,total visits,CONTENT_ONLY,4600,trailing_3_months,1533,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/careerpivot.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,N,C,https://careerpivot.com/,Direct site observation: no traditional display advertising visible on the homepage.,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://careerpivot.com/,"Direct site observation: sells published books ('Repurpose Your Career', 'Personal Branding for Baby Boomers').",Y,C,https://careerpivot.com/,"Direct site observation: paid 'Career Pivot community' membership (online forum, accountability groups, community calls).",Y,C,https://careerpivot.com/,Direct site observation: 'Get Career Pivot Insights' signup form.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
bossedup.org,Bossed Up,Bossed Up,Career / Education,UNKNOWN,2026-09-17,Mid-scale Active Site,UNKNOWN,Y,D,,"Long-running women's career-development brand (Emilie Aries) with an active podcast (confirmed still listed on Apple Podcasts), bootcamp, and own tracking tool -- reasoned as a niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,"A WebFetch of the site returned a stale cached snapshot from 2014 during this research, so recent posting cadence could not be directly re-confirmed; however, the podcast is independently confirmed still listed on Apple Podcasts, so this is NOT classified as a contrast/decline case on the evidence available.",NOT_APPLICABLE,,UNKNOWN,UNKNOWN,UNKNOWN,No founding-year statement found (About page fetch blocked by robots.txt; no usable third-party history found either); left UNKNOWN.,UNKNOWN,UNKNOWN,CONTENT_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Similarweb page for this domain shows no visible Total Visits figure (only a % MoM change); left UNKNOWN rather than guess.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://www.bossedup.org/,Direct site observation: sells a 'Bootcamp' program and a 'LifeTracker' goal-tracking tool; also runs a podcast (confirmed active on Apple Podcasts).,Y,C,https://www.bossedup.org/,Direct site observation: multi-part paid workshop series and community networking events (happy hours).,Y,C,https://www.bossedup.org/about,Direct site observation: contact-capture survey/giveaway on the about page.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
careersherpa.net,Career Sherpa,Career Sherpa,Career / Education,UNKNOWN,2026-09-17,Narrow Niche Authority,LOW,Y,D,,"Long-running solo-operator brand (Hannah Morgan, 'aka Career Sherpa') with a specific job-search/social-media-strategy niche, own published guides, and speaking engagements -- reasoned as a niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,Site shows continued (if not high-frequency) posting; no clear decline pattern established in this research pass.,NOT_APPLICABLE,,UNKNOWN,UNKNOWN,UNKNOWN,About page (Hannah Morgan) states she founded the site but gives no year; left UNKNOWN.,Similarweb,total visits,CONTENT_ONLY,9900,trailing_3_months,3300,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/careersherpa.net/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,N,C,https://careersherpa.net/,Direct site observation: no display ad network visible on the homepage.,N,C,https://careersherpa.net/,Direct site observation: no affiliate disclosure found.,Y,C,https://careersherpa.net/,"Direct site observation: sells eBooks (LinkedIn Guide, 'Do I Want This Job?' interviewing ebook) and offers speaking/consulting.",UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://careersherpa.net/,Direct site observation: 'Career Essentials member' signup embedded on homepage.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
eatyourcareer.com,Eat Your Career,Eat Your Career,Career / Education,UNKNOWN,2026-09-17,Narrow Niche Authority,LOW,Y,D,,"Professional-development training brand with named enterprise clients (Amazon, Microsoft, Capital One per site copy) and a proprietary learning platform -- reasoned as a niche authority.",UNKNOWN,UNKNOWN,UNKNOWN,No evidence of decline found; site actively promotes current workshops and books.,NOT_APPLICABLE,,2009,A,https://eatyourcareer.com/about/,"Operator direct statement on About page: ""In 2009, started Eat Your Career.""",Similarweb,total visits,CONTENT_ONLY,7500,trailing_3_months,2500,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/eatyourcareer.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,N,C,https://eatyourcareer.com/,Direct site observation: no display ads visible; model is direct product/training sales.,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://eatyourcareer.com/,"Direct site observation: sells 5 books/workbooks, a 'Career Success Library' on-demand platform, and 'Learning Lab' full-day paid workshops.",Y,C,https://eatyourcareer.com/,Direct site observation: 'Career Success Library' on-demand learning platform is a paid product/community.,Y,C,https://eatyourcareer.com/,Direct site observation: free webinars/Q&A used for list-building.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
keppiecareers.com,Keppie Careers,Keppie Careers,Career / Education,UNKNOWN,2026-09-17,Narrow Niche Authority,LOW,Y,D,,"Single-operator brand (Miriam Salpeter) with six published books and an active social-media presence across five platforms -- reasoned as a niche authority, though smaller-scale than the Large-tier candidates in this batch.",UNKNOWN,UNKNOWN,UNKNOWN,Page metadata showed a July 2024 content update and active social accounts; no strong decline evidence found.,NOT_APPLICABLE,,UNKNOWN,UNKNOWN,UNKNOWN,"About page gives only ""20+ years of experience"" (Miriam Salpeter's career experience, not the blog's founding date); left UNKNOWN.",Similarweb,total visits,CONTENT_ONLY,3900,trailing_3_months,1300,"raw_3mo_total / 3, rounded to nearest integer",2026-09-17,Similarweb 'Total Visits Last 3 Months' snapshot; page accessed 2026-09-17,B,https://www.similarweb.com/website/keppiecareers.com/,"Similarweb free-tier estimate (""Total Visits Last 3 Months""); exact reporting month varied by page and was not independently reconciled beyond the trailing-3-month framing, so no specific month is asserted.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,N,C,https://www.keppiecareers.com/,Direct site observation: no display ad network visible.,N,C,https://www.keppiecareers.com/,Direct site observation: no affiliate disclosure found.,Y,C,https://www.keppiecareers.com/,"Direct site observation: sells six published books on networking, time management, and professional communication.",Y,C,https://www.keppiecareers.com/,"Direct site observation: 1:1 coaching/consulting on LinkedIn profiles, social media strategy, resumes; also speaking/keynotes.",Y,C,https://www.keppiecareers.com/,Direct site observation: 'Sign Up to Receive Special Offers & Free Gift' signup.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
introvertwhisperer.com,Introvert Whisperer,Introvert Whisperer,Career / Education,UNKNOWN,2026-09-17,Contrast Cohort,UNKNOWN,N,D,,Content-only site with a specific (introvert career advice) niche but no proprietary product/coaching brand or third-party recognition confirmed in this research pass.,Y,C,https://introvertwhisperer.com/,"Direct site observation: most recent visible article dated April 17, 2022, following an earlier gap from mid-2021 -- no newer content found as of this research (Sept 2026), consistent with a multi-year posting-cadence drop.",cadence_drop,Most recent visible post April 2022; no confirmed newer posts through Sept 2026 (~4+ years).,UNKNOWN,UNKNOWN,UNKNOWN,"No founding-year statement found; only a 2022 copyright year, which does not indicate founding; left UNKNOWN.",UNKNOWN,UNKNOWN,CONTENT_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Similarweb page shows ""No Data Available"" for this domain; left UNKNOWN.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,,Y,C,https://introvertwhisperer.com/,Direct site observation: article content links to Princeton Review's GMAT page and a KapTest study-guide URL with an affiliate-style parameter structure.,N,C,https://introvertwhisperer.com/,Direct site observation: no owned product/course promoted on the visible content.,N,C,https://introvertwhisperer.com/,Direct site observation: no paid community/coaching promoted on the visible content.,N,C,https://introvertwhisperer.com/,Direct site observation: no newsletter signup found on the visible content.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No sitemap/index-count (or other automatable) content-scale proxy was collected during Study A Wave 001 research -- left UNKNOWN rather than backfill a guessed value, matching the A0 dataset's own precedent for this field."
