canonical_root_domain,registrable_domain,source_group,category,sampling_stratum,status,batch_id
thomasjfrank.com,thomasjfrank.com,Study A (A0),Productivity / PKM,Large/Traffic Leader,COMMITTED,A0-cumulative-50
zapier.com,zapier.com,Study A (A0),Productivity / PKM,Large/Traffic Leader,COMMITTED,A0-cumulative-50
asianefficiency.com,asianefficiency.com,Study A (A0),Productivity / PKM,Large/Traffic Leader,COMMITTED,A0-cumulative-50
nesslabs.com,nesslabs.com,Study A (A0),Productivity / PKM,Mid-scale Active Site,COMMITTED,A0-cumulative-50
keepproductive.com,keepproductive.com,Study A (A0),Productivity / PKM,Mid-scale Active Site,COMMITTED,A0-cumulative-50
fortelabs.com,fortelabs.com,Study A (A0),Productivity / PKM,Narrow Niche Authority,COMMITTED,A0-cumulative-50
zettelkasten.de,zettelkasten.de,Study A (A0),Productivity / PKM,Narrow Niche Authority,COMMITTED,A0-cumulative-50
linkingyourthinking.com,linkingyourthinking.com,Study A (A0),Productivity / PKM,Narrow Niche Authority,COMMITTED,A0-cumulative-50
43folders.com,43folders.com,Study A (A0),Productivity / PKM,Contrast Cohort,COMMITTED,A0-cumulative-50
zenhabits.net,zenhabits.net,Study A (A0),Productivity / PKM,Contrast Cohort,COMMITTED,A0-cumulative-50
mrexcel.com,mrexcel.com,Study A (A0),Excel / Spreadsheet,Large/Traffic Leader,COMMITTED,A0-cumulative-50
excelforum.com,excelforum.com,Study A (A0),Excel / Spreadsheet,Large/Traffic Leader,COMMITTED,A0-cumulative-50
excel-easy.com,excel-easy.com,Study A (A0),Excel / Spreadsheet,Mid-scale Active Site,COMMITTED,A0-cumulative-50
automateexcel.com,automateexcel.com,Study A (A0),Excel / Spreadsheet,Mid-scale Active Site,COMMITTED,A0-cumulative-50
coefficient.io,coefficient.io,Study A (A0),Excel / Spreadsheet,Mid-scale Active Site,COMMITTED,A0-cumulative-50
powerpivotpro.com,powerpivotpro.com,Study A (A0),Excel / Spreadsheet,Narrow Niche Authority,COMMITTED,A0-cumulative-50
benlcollins.com,benlcollins.com,Study A (A0),Excel / Spreadsheet,Narrow Niche Authority,COMMITTED,A0-cumulative-50
excelxor.com,excelxor.com,Study A (A0),Excel / Spreadsheet,Narrow Niche Authority,COMMITTED,A0-cumulative-50
ozgrid.com,ozgrid.com,Study A (A0),Excel / Spreadsheet,Contrast Cohort,COMMITTED,A0-cumulative-50
spreadsheetpage.com,spreadsheetpage.com,Study A (A0),Excel / Spreadsheet,Contrast Cohort,COMMITTED,A0-cumulative-50
financialsamurai.com,financialsamurai.com,Study A (A0),Personal Finance,Large/Traffic Leader,COMMITTED,A0-cumulative-50
getrichslowly.org,getrichslowly.org,Study A (A0),Personal Finance,Large/Traffic Leader,COMMITTED,A0-cumulative-50
whitecoatinvestor.com,whitecoatinvestor.com,Study A (A0),Personal Finance,Narrow Niche Authority,COMMITTED,A0-cumulative-50
themilitarywallet.com,themilitarywallet.com,Study A (A0),Personal Finance,Narrow Niche Authority,COMMITTED,A0-cumulative-50
dividendgrowthinvestor.com,dividendgrowthinvestor.com,Study A (A0),Personal Finance,Narrow Niche Authority,COMMITTED,A0-cumulative-50
